post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
46445506.second-longest-bean,,false,,,newsletter,everyone,,,
39715394.a-long-week,,false,,,newsletter,everyone,,,
33335992.wait-for-it,2021-03-08T08:46:14.203Z,true,2021-03-08T08:46:14.253Z,2021-03-08T08:46:14.253Z,newsletter,everyone,Wait for it,It's amazing how fast things can happen when you've put in the time,
32842922.flow-state,2021-02-23T09:37:47.950Z,true,2021-02-23T09:37:47.989Z,2021-02-23T09:37:47.989Z,newsletter,everyone,Distraction and Flow State,Perhaps we can't blame our phones...,
32538419.what-did-i-work-on-last-month,2021-02-14T15:48:08.804Z,true,2021-02-14T15:48:08.834Z,2021-02-14T15:48:08.834Z,newsletter,everyone,What did I work on last month?,And the value of building for fun,
32361516.progression-feb,2021-02-09T14:15:22.239Z,true,2021-02-09T14:15:22.306Z,2021-02-09T14:15:22.306Z,newsletter,everyone,Progression update: early vs late,A quick one about the A12,
32262232.building-something-inevitable,,false,,,newsletter,everyone,,,
32096188.bottoms-up-will-eat-the-world,,false,,,newsletter,everyone,,,
32025562.radio-on-the-internet,2021-01-31T14:02:53.532Z,true,2021-01-31T14:02:54.655Z,2021-01-31T14:02:54.655Z,newsletter,everyone,Radio on the internet,On Spotify and the future of podcasting,
31797182.birthday,2021-01-24T12:16:11.459Z,true,2021-01-24T12:16:11.491Z,2021-01-24T12:16:11.491Z,newsletter,everyone,A birthday reminder,And the one job in my life that Facebook was actually good for,
31671899.its-just-a-bit-of-fun,,false,,,newsletter,everyone,,,
31661813.marketing-starts-from-within,,false,,,newsletter,everyone,,,
31608211.first-steps,2021-01-17T14:42:19.525Z,true,2021-01-17T14:42:19.560Z,2021-01-17T14:42:19.560Z,newsletter,everyone,Love it or hate it?,On Marmite and first time user experiences.,
31198467.a-need-for-focus-part-2,,false,,,newsletter,everyone,,,
31197713.a-need-for-focus-part-1,,false,,,newsletter,everyone,,,
31174963.introducing-the-newsletter,2021-01-09T11:48:51.147Z,true,2021-01-09T11:48:51.147Z,2021-01-09T11:48:51.147Z,newsletter,everyone,Introducing the 500 word founder: Concise regular ramblings of an early stage tech CEO,,
